total_week,country_code,total_books,after,treated,deaths,cases,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,close_public_transport,stay_at_home_requirements,nacionaltravel,internationaltravel,after_treated
34,MEX,91.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,NLD,193.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,NOR,43.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,PER,15.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,PHL,28.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,POL,12.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,PRT,263.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,ROU,35.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,RUS,11.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,SGP,19.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,SVK,4.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,SWE,525.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,TUR,33.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,URY,25.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
34,USA,3397.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
35,ARG,36.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
35,AUS,458.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
35,AUT,81.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
35,BEL,219.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
35,BGR,39.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
35,BRA,148.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
35,CAN,202.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
35,CHE,24.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
35,CHL,78.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
